tag,total_questions,avg_score,avg_views,unanswered_count,avg_answers,unanswered_rate,engagement_score
npm,18069,1.26,1441.0,6289,0.97,0.3481,1.27
next.js,20319,1.11,1122.0,6934,0.91,0.3413,1.07
visual-studio-code,31217,1.08,1023.0,10981,0.93,0.3518,1.03
macos,19012,1.14,925.0,6341,0.91,0.3335,1.01
swiftui,25008,1.25,623.0,5897,1.03,0.2358,0.96
kubernetes,28991,0.89,935.0,6787,1.03,0.2341,0.94
docker,55588,0.93,950.0,17905,0.9,0.3221,0.93
xcode,21537,1.12,704.0,6744,0.97,0.3131,0.92
github,17764,1.02,789.0,5068,0.94,0.2853,0.91
android-studio,29869,0.99,774.0,9754,0.99,0.3266,0.9
react-hooks,20755,0.78,827.0,3708,1.23,0.1787,0.89
flutter,112696,0.82,807.0,26715,1.13,0.2371,0.88
dart,54481,0.79,822.0,10900,1.19,0.2001,0.88
typescript,98621,0.85,729.0,23431,1.07,0.2376,0.85
git,28530,0.87,699.0,6430,1.06,0.2254,0.84
.net-core,21099,0.84,706.0,5702,0.97,0.2702,0.81
vue.js,53035,0.73,793.0,12773,1.02,0.2408,0.81
react-native,61673,0.75,713.0,19360,0.96,0.3139,0.78
reactjs,246929,0.68,735.0,62944,1.08,0.2549,0.78
asp.net-core,34964,0.71,728.0,8171,1.02,0.2337,0.78
kotlin,48579,0.87,571.0,12648,1.04,0.2604,0.78
ios,67471,0.88,554.0,21555,0.93,0.3195,0.76
tensorflow,33018,0.76,696.0,10682,0.83,0.3235,0.75
keras,20039,0.74,711.0,6322,0.85,0.3155,0.75
amazon-web-services,59528,0.74,646.0,17096,0.91,0.2872,0.74
android,176356,0.81,564.0,57302,0.94,0.3249,0.74
angular,96077,0.54,706.0,23135,1.07,0.2408,0.71
spring-boot,60639,0.57,708.0,18472,0.93,0.3046,0.7
node.js,150215,0.6,655.0,44119,0.95,0.2937,0.69
google-cloud-platform,22487,0.64,512.0,4877,1.0,0.2169,0.66
go,22831,0.46,668.0,4473,1.04,0.1959,0.66
spring,43236,0.53,614.0,12820,0.94,0.2965,0.65
azure,44891,0.53,582.0,7884,1.02,0.1756,0.65
firebase,55009,0.66,485.0,14277,0.96,0.2595,0.65
pyspark,18031,0.57,515.0,4504,0.97,0.2498,0.63
swift,73499,0.68,394.0,19132,0.99,0.2603,0.63
numpy,38905,0.59,355.0,7224,1.21,0.1857,0.62
machine-learning,17905,0.54,572.0,5275,0.87,0.2946,0.62
apache-spark,23261,0.57,496.0,6191,0.94,0.2662,0.61
visual-studio,21406,0.56,516.0,7057,0.88,0.3297,0.61
pandas,132700,0.55,300.0,19519,1.26,0.1471,0.59
laravel,67964,0.36,565.0,16089,1.08,0.2367,0.59
